label,text_original,text_processed
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazi avail bugi great world la buffet cine got amor wat
ham,Ok lar... Joking wif u oni...,ok lar joke wif oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entri wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18
ham,U dun say so early hor... U c already then say...,dun say earli hor alreadi say
ham,"Nah I don't think he goes to usf, he lives around here though",nah dont think goe usf live around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darl week word back id like fun still tb ok xxx std chg send 150 rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valu network custom select receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobil 11 month entitl updat latest colour mobil camera free call mobil updat co free 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gon na home soon dont want talk stuff anymor tonight ive cri enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),oh kim watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh rememb spell name ye naughti make wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine that way feel that way gota
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txt120 poboxox36504w45wq 16
ham,Is that seriously how you spell his name?,serious spell name
ham,IÛ÷m going to try for 2 months ha ha only joking,im go tri month ha ha joke
ham,So Ì_ pay first lar... Then when is da stock comin...,pay first lar da stock comin
